timestep_superordinate_dispatch,region_dispatch,technology,carrier,id,variable,value,objName
30th < 2040,EU < AT,none,ammonia,none,demand,-2.1080752711199997,800_test_iteraiton800_oil0_hvc0_cluster0
30th < 2040,EU < AT,none,avaAndNavi,none,demand,-11.795798997720002,800_test_iteraiton800_oil0_hvc0_cluster0
30th < 2040,EU < AT,none,hvc,none,demand,-9.18465766152,800_test_iteraiton800_oil0_hvc0_cluster0
30th < 2040,EU < BE,none,ammonia,none,demand,-7.0663073571599995,800_test_iteraiton800_oil0_hvc0_cluster0
30th < 2040,EU < BE,none,avaAndNavi,none,demand,-21.32242300428,800_test_iteraiton800_oil0_hvc0_cluster0
30th < 2040,EU < BE,none,hvc,none,demand,-30.229993771560004,800_test_iteraiton800_oil0_hvc0_cluster0
30th < 2040,EU < BG,none,ammonia,none,demand,-1.69466821776,800_test_iteraiton800_oil0_hvc0_cluster0
30th < 2040,EU < BG,none,avaAndNavi,none,demand,-2.8538130024,800_test_iteraiton800_oil0_hvc0_cluster0
30th < 2040,EU < BG,none,hvc,none,demand,-1.4900250430800002,800_test_iteraiton800_oil0_hvc0_cluster0
30th < 2040,EU < CZ,none,ammonia,none,demand,-1.2655212051600002,800_test_iteraiton800_oil0_hvc0_cluster0
30th < 2040,EU < CZ,none,avaAndNavi,none,demand,-5.48459899776,800_test_iteraiton800_oil0_hvc0_cluster0
30th < 2040,EU < CZ,none,hvc,none,demand,-13.570115018880001,800_test_iteraiton800_oil0_hvc0_cluster0
30th < 2040,EU < DE,none,ammonia,none,demand,-12.195933810120001,800_test_iteraiton800_oil0_hvc0_cluster0
30th < 2040,EU < DE,none,avaAndNavi,none,demand,-124.97501600964,800_test_iteraiton800_oil0_hvc0_cluster0
30th < 2040,EU < DE,none,hvc,none,demand,-95.61254476559999,800_test_iteraiton800_oil0_hvc0_cluster0
30th < 2040,EU < DK,none,ammonia,none,demand,-0.12343025712,800_test_iteraiton800_oil0_hvc0_cluster0
30th < 2040,EU < DK,none,avaAndNavi,none,demand,-13.94179199892,800_test_iteraiton800_oil0_hvc0_cluster0
30th < 2040,EU < DK,none,hvc,none,demand,-1.13556518604,800_test_iteraiton800_oil0_hvc0_cluster0
